,siret
59955248,77620765600013
66916441,82053902100015
70944508,85089965900013
15036720,35231969300045
11244177,34033152900016
50325603,50365900500014
70559292,84803049000017
65882147,81364920900018
11244481,34033233700013
68173401,82889343800014
50940671,50813737900014
43480660,47876502700048
16637962,37910115700038
73754610,90276208700010
62174999,79221163300013
73484997,89998848900014
49490814,50057793700013
57637435,58604854800018
19480356,38757330600017
73337973,89850330500010
54324566,52412412000014
35782110,43399249200010
49937795,50205569200011
29457123,41480590300039
22383051,39420397000030
11245565,34033515700012
70108639,84288691300016
65963926,81403183700010
20744295,39045084900018
73546572,90061011400010
46541232,48952682200015
69356564,83791924000023
11543071,34117481100016
61449169,78891037000014
43840896,47962862000011
45863560,48749956800045
59584435,77507156600019
62314380,79286207000010
10765948,33901840000012
25916656,40422475000012
64043203,80287203600016
55052715,52922013900016
23900278,39963767700010
70675693,84888309600010
14293802,35041804200031
42881913,45750656600514
55314178,53036558400024
4731094,31662013700018
25054695,40227450000055
31921031,42249755200022
71142585,85241798900013
40646285,44895727400013
6466221,32356156300012
61114052,78520381100019
41767828,45151014300014
73534103,90048527700017
22902766,39597847100013
59617201,77534935000014
12868185,34472926400046
54288491,52397122400010
55988586,53334621900033
61804554,79052017500015
59861973,77571821601968
23750392,39931453300031
20581414,39007255100026
72934432,89273119100011
39613824,44460808700011
71643118,87926938900018
124955,3891255600016
25552881,40337232900017
8120147,32914691400018
63799603,80169649300015
29701825,41534580000015
72665495,89022977600012
45076566,48316205300043
60433134,77994804100016
20683908,39031332800010
72392825,88768106200014
61756029,79029609900019
61013318,78437385400016
52500360,51456571200015
5497312,31987549800036
73030,3358380800010
57978646,65162101300523
67351223,82268858600012
19926010,38859015000016
31423304,42137770600039
19491858,38759934300010
32496558,42378702700022
42555828,45335992900024
23307731,39833169400016
65072235,80978780700019
47188915,49149179100019
73740901,90261218300019
64496514,80505580300011
62840570,79528614500011
25175411,40255000800013
35200946,43269917100026
25587954,40345002600022
28509704,41255306700015
27363565,40986811400128
47069103,49113253600021
16021834,37759877600013
52352163,51395379400015
5646756,32048602000037
42052565,45216257100015
32335105,42343246700029
60149255,77780270300010
46481667,48933671900021
13247121,34768423500018
53080293,51890324000019
15132042,35256017100014
51545584,51065188800016
1246389,21890318500047
10597229,33853588300031
9509274,33338529200011
65632953,81251101200021
34590451,43128989100019
49728166,50133144100011
9448498,33320400600014
31266491,42103725000014
53131890,51910385700024
60788404,78266283700015
46373792,48900604900014
36306359,43515216000014
1443930,25670117800012
14449315,35082475100027
